Country,Year,Population
Argentina,1951,"17,390,378"
Argentina,1952,"17,742,980"
Argentina,1953,"18,094,298"
Argentina,1954,"18,443,309"
Argentina,1955,"18,789,418"
Argentina,1956,"19,132,401"
Argentina,1957,"19,472,469"
Argentina,1958,"19,810,167"
Argentina,1959,"20,146,313"
Argentina,1960,"20,481,779"
Argentina,1961,"20,817,266"
Argentina,1962,"21,153,052"
Argentina,1963,"21,488,912"
Argentina,1964,"21,824,425"
Argentina,1965,"22,159,650"
Argentina,1966,"22,494,035"
Argentina,1967,"22,828,869"
Argentina,1968,"23,168,267"
Argentina,1969,"23,517,611"
Argentina,1970,"23,880,561"
Argentina,1971,"24,259,561"
Argentina,1972,"24,653,175"
Argentina,1973,"25,056,478"
Argentina,1974,"25,462,302"
Argentina,1975,"25,865,776"
Argentina,1976,"26,264,681"
Argentina,1977,"26,661,398"
Argentina,1978,"27,061,047"
Argentina,1979,"27,471,036"
Argentina,1980,"27,896,528"
Argentina,1981,"28,338,515"
Argentina,1982,"28,794,548"
Argentina,1983,"29,262,047"
Argentina,1984,"29,737,093"
Argentina,1985,"30,216,279"
Argentina,1986,"30,698,964"
Argentina,1987,"31,184,415"
Argentina,1988,"31,668,949"
Argentina,1989,"32,148,134"
Argentina,1990,"32,618,651"
Argentina,1991,"33,079,000"
Argentina,1992,"33,529,326"
Argentina,1993,"33,970,111"
Argentina,1994,"34,402,672"
Argentina,1995,"34,828,170"
Argentina,1996,"35,246,374"
Argentina,1997,"35,657,429"
Argentina,1998,"36,063,459"
Argentina,1999,"36,467,218"
Argentina,2000,"36,870,787"
Argentina,2001,"37,275,652"
Argentina,2002,"37,681,749"
Argentina,2003,"38,087,868"
Argentina,2004,"38,491,972"
Argentina,2005,"38,892,931"
Argentina,2006,"39,289,878"
Argentina,2007,"39,684,295"
Argentina,2008,"40,080,160"
Argentina,2009,"40,482,788"
Argentina,2010,"40,895,752"
Argentina,2011,"41,320,500"
Argentina,2012,"41,755,196"
Argentina,2013,"42,196,030"
Argentina,2014,"42,637,511"
Argentina,2015,"43,075,416"
Argentina,2016,"43,508,460"
Argentina,2017,"43,937,140"
Argentina,2018,"44,361,150"
Argentina,2019,"44,780,677"
Argentina,2020,"45,195,774"
Argentina,2020,"45,195,774"
Argentina,2021,"45,608,333"
Argentina,2022,"46,017,901"
Argentina,2023,"46,424,111"
Argentina,2024,"46,826,632"
Argentina,2025,"47,225,170"
Argentina,2026,"47,619,480"
Argentina,2027,"48,009,339"
Argentina,2028,"48,394,579"
Argentina,2029,"48,775,054"
Argentina,2030,"49,150,649"
Argentina,2031,"49,521,244"
Argentina,2032,"49,886,748"
Argentina,2033,"50,247,026"
Argentina,2034,"50,601,988"
Argentina,2035,"50,951,562"
Argentina,2036,"51,295,686"
Argentina,2037,"51,634,421"
Argentina,2038,"51,967,908"
Argentina,2039,"52,296,450"
Argentina,2040,"52,620,230"
Argentina,2041,"52,939,298"
Argentina,2042,"53,253,651"
Argentina,2043,"53,563,398"
Argentina,2044,"53,868,621"
Argentina,2045,"54,169,396"
Argentina,2046,"54,465,785"
Argentina,2047,"54,757,734"
Argentina,2048,"55,045,146"
Argentina,2049,"55,327,856"
Argentina,2050,"55,605,718"
Argentina,2051,"55,878,737"
Argentina,2052,"56,146,913"
Argentina,2053,"56,410,134"
Argentina,2054,"56,668,314"
Argentina,2055,"56,921,353"
Argentina,2056,"57,169,297"
Argentina,2057,"57,412,185"
Argentina,2058,"57,650,100"
Argentina,2059,"57,883,104"
Argentina,2060,"58,111,311"
Argentina,2061,"58,334,830"
Argentina,2062,"58,553,819"
Argentina,2063,"58,768,483"
Argentina,2064,"58,979,075"
Argentina,2065,"59,185,847"
Argentina,2066,"59,388,988"
Argentina,2067,"59,588,733"
Argentina,2068,"59,785,383"
Argentina,2069,"59,979,318"
Argentina,2070,"60,170,859"
Argentina,2071,"60,360,235"
Argentina,2072,"60,547,690"
Argentina,2073,"60,733,481"
Argentina,2074,"60,917,893"
Argentina,2075,"61,101,185"
Argentina,2076,"61,283,561"
Argentina,2077,"61,465,205"
Argentina,2078,"61,646,320"
Argentina,2079,"61,827,070"
Argentina,2080,"62,007,628"
Argentina,2081,"62,188,126"
Argentina,2082,"62,368,684"
Argentina,2083,"62,549,413"
Argentina,2084,"62,730,397"
Argentina,2085,"62,911,726"
Argentina,2086,"63,093,449"
Argentina,2087,"63,275,621"
Argentina,2088,"63,458,252"
Argentina,2089,"63,641,329"
Argentina,2090,"63,824,817"
Argentina,2091,"64,008,727"
Argentina,2092,"64,193,043"
Argentina,2093,"64,377,770"
Argentina,2094,"64,562,884"
Argentina,2095,"64,748,356"
Argentina,2096,"64,934,143"
Argentina,2097,"65,120,174"
Argentina,2098,"65,306,353"
Argentina,2099,"65,492,581"
Argentina,2100,"65,678,719"
Bolivia (Plurinational State of),1951,"3,124,341"
Bolivia (Plurinational State of),1952,"3,170,675"
Bolivia (Plurinational State of),1953,"3,220,686"
Bolivia (Plurinational State of),1954,"3,274,201"
Bolivia (Plurinational State of),1955,"3,331,036"
Bolivia (Plurinational State of),1956,"3,390,967"
Bolivia (Plurinational State of),1957,"3,453,770"
Bolivia (Plurinational State of),1958,"3,519,195"
Bolivia (Plurinational State of),1959,"3,586,988"
Bolivia (Plurinational State of),1960,"3,656,955"
Bolivia (Plurinational State of),1961,"3,728,964"
Bolivia (Plurinational State of),1962,"3,802,990"
Bolivia (Plurinational State of),1963,"3,879,192"
Bolivia (Plurinational State of),1964,"3,957,757"
Bolivia (Plurinational State of),1965,"4,038,872"
Bolivia (Plurinational State of),1966,"4,122,517"
Bolivia (Plurinational State of),1967,"4,208,676"
Bolivia (Plurinational State of),1968,"4,297,517"
Bolivia (Plurinational State of),1969,"4,389,246"
Bolivia (Plurinational State of),1970,"4,484,004"
Bolivia (Plurinational State of),1971,"4,581,740"
Bolivia (Plurinational State of),1972,"4,682,390"
Bolivia (Plurinational State of),1973,"4,785,923"
Bolivia (Plurinational State of),1974,"4,892,293"
Bolivia (Plurinational State of),1975,"5,001,419"
Bolivia (Plurinational State of),1976,"5,113,456"
Bolivia (Plurinational State of),1977,"5,228,252"
Bolivia (Plurinational State of),1978,"5,344,939"
Bolivia (Plurinational State of),1979,"5,462,419"
Bolivia (Plurinational State of),1980,"5,579,935"
Bolivia (Plurinational State of),1981,"5,697,096"
Bolivia (Plurinational State of),1982,"5,814,345"
Bolivia (Plurinational State of),1983,"5,932,810"
Bolivia (Plurinational State of),1984,"6,054,123"
Bolivia (Plurinational State of),1985,"6,179,460"
Bolivia (Plurinational State of),1986,"6,309,130"
Bolivia (Plurinational State of),1987,"6,442,831"
Bolivia (Plurinational State of),1988,"6,580,312"
Bolivia (Plurinational State of),1989,"6,721,115"
Bolivia (Plurinational State of),1990,"6,864,842"
Bolivia (Plurinational State of),1991,"7,011,453"
